Temperature,Reproduced,DeathDay,Survived
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtysixpointfive,,1,0
thirtysixpointfive,,1,0
thirtysixpointfive,,1,0
thirtysixpointfive,,1,0
thirtysixpointfive,,1,0
thirtysixpointfive,,2,0
thirtysixpointfive,,2,0
thirtysixpointfive,,4,0
thirtysixpointfive,,4,0
thirtysixpointfive,,4,0
thirtysixpointfive,,4,0
thirtysixpointfive,,4,0
thirtysixpointfive,,5,0
thirtysixpointfive,,5,0
thirtysixpointfive,,7,0
thirtysixpointfive,,7,0
thirtysixpointfive,,8,0
thirtysixpointfive,0,9,1
thirtysixpointfive,0,9,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,0,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
thirtysixpointfive,1,10,1
